Rocket Launch

Time:  0.0 s	Height: 0.0000000 m	V: 0.0000000 m/s	a: 0.0000000  m/s^2	Force:0.0000000 N	Mass:0.05820 kg
Time:  0.1 s	Height: 0.9506352 m	V: 9.5063521 m/s	a: 95.0635207  m/s^2	Force:5.4389262 N	Mass:0.05721 kg
Time:  0.2 s	Height: 4.0157289 m	V: 30.6509366 m/s	a: 211.4458452  m/s^2	Force:11.6724425 N	Mass:0.05520 kg
Time:  0.3 s	Height: 7.9365937 m	V: 39.2086486 m/s	a: 85.5771197  m/s^2	Force:4.6488442 N	Mass:0.05432 kg
Time:  0.4 s	Height: 12.5893841 m	V: 46.5279038 m/s	a: 73.1925526  m/s^2	Force:3.9192767 N	Mass:0.05355 kg
Time:  0.5 s	Height: 17.9342730 m	V: 53.4488885 m/s	a: 69.2098467  m/s^2	Force:3.6541288 N	Mass:0.05280 kg
Time:  0.6 s	Height: 23.9704855 m	V: 60.3621259 m/s	a: 69.1323742  m/s^2	Force:3.5975304 N	Mass:0.05204 kg
Time:  0.7 s	Height: 30.6881323 m	V: 67.1764671 m/s	a: 68.1434122  m/s^2	Force:3.4939736 N	Mass:0.05127 kg
Time:  0.8 s	Height: 38.0741782 m	V: 73.8604599 m/s	a: 66.8399278  m/s^2	Force:3.3757129 N	Mass:0.05050 kg
Time:  0.9 s	Height: 46.0922570 m	V: 80.1807873 m/s	a: 63.2032741  m/s^2	Force:3.1441450 N	Mass:0.04975 kg
Time:  1.0 s	Height: 54.7304272 m	V: 86.3817023 m/s	a: 62.0091496  m/s^2	Force:3.0371340 N	Mass:0.04898 kg
Time:  1.1 s	Height: 63.9575236 m	V: 92.2709642 m/s	a: 58.8926188  m/s^2	Force:2.8394690 N	Mass:0.04821 kg
Time:  1.2 s	Height: 73.7448628 m	V: 97.8733916 m/s	a: 56.0242746  m/s^2	Force:2.6583453 N	Mass:0.04745 kg
Time:  1.3 s	Height: 84.0450093 m	V: 103.0014654 m/s	a: 51.2807384  m/s^2	Force:2.3947375 N	Mass:0.04670 kg
Time:  1.4 s	Height: 94.8387480 m	V: 107.9373864 m/s	a: 49.3592091  m/s^2	Force:2.2675151 N	Mass:0.04594 kg
Time:  1.5 s	Height: 106.0947109 m	V: 112.5596289 m/s	a: 46.2224251  m/s^2	Force:2.0883070 N	Mass:0.04518 kg
Time:  1.6 s	Height: 117.7631837 m	V: 116.6847288 m/s	a: 41.2509990  m/s^2	Force:1.8329116 N	Mass:0.04443 kg
Time:  1.7 s	Height: 129.8163906 m	V: 120.5320687 m/s	a: 38.4733991  m/s^2	Force:1.6807152 N	Mass:0.04369 kg
Time:  1.8 s	Height: 142.2293296 m	V: 124.1293905 m/s	a: 35.9732185  m/s^2	Force:1.5444675 N	Mass:0.04293 kg
Time:  1.9 s	Height: 153.9008213 m	V: 116.7149167 m/s	a: -74.1447386  m/s^2	Force:-3.1833166 N	Mass:0.04293 kg
Time:  2.0 s	Height: 164.9054307 m	V: 110.0460939 m/s	a: -66.6882281  m/s^2	Force:-2.8631801 N	Mass:0.04293 kg
Time:  2.1 s	Height: 175.3063024 m	V: 104.0087174 m/s	a: -60.3737644  m/s^2	Force:-2.5920761 N	Mass:0.04293 kg
Time:  2.2 s	Height: 185.1573991 m	V: 98.5109661 m/s	a: -54.9775132  m/s^2	Force:-2.3603944 N	Mass:0.04293 kg
Time:  2.3 s	Height: 194.5052118 m	V: 93.4781273 m/s	a: -50.3283880  m/s^2	Force:-2.1607898 N	Mass:0.04293 kg
Time:  2.4 s	Height: 203.3900874 m	V: 88.8487559 m/s	a: -46.2937137  m/s^2	Force:-1.9875658 N	Mass:0.04293 kg
Time:  2.5 s	Height: 211.8472704 m	V: 84.5718298 m/s	a: -42.7692614  m/s^2	Force:-1.8362476 N	Mass:0.04293 kg
Time:  2.6 s	Height: 219.9077314 m	V: 80.6046109 m/s	a: -39.6721894  m/s^2	Force:-1.7032785 N	Mass:0.04293 kg
Time:  2.7 s	Height: 227.5988330 m	V: 76.9110153 m/s	a: -36.9359557  m/s^2	Force:-1.5858015 N	Mass:0.04293 kg
Time:  2.8 s	Height: 234.9448685 m	V: 73.4603557 m/s	a: -34.5065956  m/s^2	Force:-1.4814998 N	Mass:0.04293 kg
Time:  2.9 s	Height: 241.9675045 m	V: 70.2263599 m/s	a: -32.3399585  m/s^2	Force:-1.3884778 N	Mass:0.04293 kg
Time:  3.0 s	Height: 248.6861442 m	V: 67.1863968 m/s	a: -30.3996312  m/s^2	Force:-1.3051722 N	Mass:0.04293 kg
Time:  3.1 s	Height: 255.1182303 m	V: 64.3208609 m/s	a: -28.6553590  m/s^2	Force:-1.2302839 N	Mass:0.04293 kg
Time:  3.2 s	Height: 261.2794981 m	V: 61.6126778 m/s	a: -27.0818309  m/s^2	Force:-1.1627263 N	Mass:0.04293 kg
Time:  3.3 s	Height: 267.1841885 m	V: 59.0469040 m/s	a: -25.6577380  m/s^2	Force:-1.1015846 N	Mass:0.04293 kg
Time:  3.4 s	Height: 272.8452285 m	V: 56.6104006 m/s	a: -24.3650340  m/s^2	Force:-1.0460839 N	Mass:0.04293 kg
Time:  3.5 s	Height: 278.2743851 m	V: 54.2915653 m/s	a: -23.1883523  m/s^2	Force:-0.9955645 N	Mass:0.04293 kg
Time:  3.6 s	Height: 283.4823962 m	V: 52.0801113 m/s	a: -22.1145408  m/s^2	Force:-0.9494616 N	Mass:0.04293 kg
Time:  3.7 s	Height: 288.4790844 m	V: 49.9668824 m/s	a: -21.1322890  m/s^2	Force:-0.9072898 N	Mass:0.04293 kg
Time:  3.8 s	Height: 293.2734544 m	V: 47.9436997 m/s	a: -20.2318264  m/s^2	Force:-0.8686295 N	Mass:0.04293 kg
Time:  3.9 s	Height: 297.8737776 m	V: 46.0032319 m/s	a: -19.4046777  m/s^2	Force:-0.8331169 N	Mass:0.04293 kg
Time:  4.0 s	Height: 302.2876662 m	V: 44.1388858 m/s	a: -18.6434616  m/s^2	Force:-0.8004350 N	Mass:0.04293 kg
Time:  4.1 s	Height: 306.5221375 m	V: 42.3447131 m/s	a: -17.9417265  m/s^2	Force:-0.7703068 N	Mass:0.04293 kg
Time:  4.2 s	Height: 310.5836707 m	V: 40.6153318 m/s	a: -17.2938132  m/s^2	Force:-0.7424894 N	Mass:0.04293 kg
Time:  4.3 s	Height: 314.4782564 m	V: 38.9458577 m/s	a: -16.6947417  m/s^2	Force:-0.7167690 N	Mass:0.04293 kg
Time:  4.4 s	Height: 318.2114410 m	V: 37.3318460 m/s	a: -16.1401161  m/s^2	Force:-0.6929568 N	Mass:0.04293 kg
Time:  4.5 s	Height: 321.7883652 m	V: 35.7692415 m/s	a: -15.6260450  m/s^2	Force:-0.6708857 N	Mass:0.04293 kg
Time:  4.6 s	Height: 325.2137986 m	V: 34.2543341 m/s	a: -15.1490742  m/s^2	Force:-0.6504076 N	Mass:0.04293 kg
Time:  4.7 s	Height: 328.4921707 m	V: 32.7837211 m/s	a: -14.7061297  m/s^2	Force:-0.6313903 N	Mass:0.04293 kg
